iter	Logloss
0	0.6603398525
1	0.6364483186
2	0.6126852048
3	0.591794218
4	0.5767406832
5	0.5613347083
6	0.5482346061
7	0.5351350229
8	0.5225671314
9	0.5140413151
10	0.506776505
11	0.4992722793
12	0.4943344486
13	0.4891397035
14	0.484504739
15	0.4805012724
16	0.4760196529
17	0.4717456564
18	0.4676874933
19	0.4646007097
20	0.4612839298
21	0.4598612428
22	0.457554693
23	0.4559500572
24	0.4531923044
25	0.4509170004
26	0.449093397
27	0.4478379743
28	0.4458524376
29	0.4453096001
30	0.4436843148
31	0.4427042864
32	0.4414534683
33	0.4405356951
34	0.4397397409
35	0.4384136107
36	0.4379363157
37	0.436773068
38	0.4358378043
39	0.4347542853
40	0.4337028362
41	0.4335753995
42	0.432626417
43	0.4320294496
44	0.4311068836
45	0.4305521705
46	0.4298519539
47	0.4289920594
48	0.428081892
49	0.4273803027
50	0.4258811629
51	0.4251604723
52	0.4248223906
53	0.424122471
54	0.4235960599
55	0.4232712182
56	0.4221682906
57	0.4218126281
58	0.4210416614
59	0.4202465134
60	0.4198002245
61	0.4197205424
62	0.4192384147
63	0.4187361147
64	0.4182562906
65	0.4176899563
66	0.4176445758
67	0.4173699743
68	0.4172789047
69	0.41710513
70	0.4167826577
71	0.4166617368
72	0.4162161086
73	0.4158371207
74	0.4157443505
75	0.4153434404
76	0.4152651595
77	0.4148686174
78	0.4147991675
79	0.4147625984
80	0.4147125175
81	0.414661504
82	0.4145920111
83	0.4143745596
84	0.4141253542
85	0.414075085
86	0.414001558
87	0.4138022791
88	0.4137574441
89	0.4137052407
90	0.4131578407
91	0.4131061623
92	0.4127626836
93	0.4127025178
94	0.4126340413
95	0.4124389428
96	0.4123193638
97	0.4116807354
98	0.4116217881
99	0.4115595793
