iter	Passed	Remaining
0	12	1243
1	14	693
2	16	542
3	18	440
4	19	370
5	21	342
6	23	316
7	25	298
8	28	283
9	29	262
10	30	248
11	33	244
12	35	234
13	37	231
14	39	226
15	42	220
16	44	217
17	47	214
18	49	210
19	50	203
20	53	199
21	55	195
22	57	191
23	59	187
24	61	183
25	62	178
26	64	175
27	66	171
28	68	167
29	69	162
30	71	159
31	74	158
32	76	155
33	78	153
34	80	150
35	83	147
36	84	144
37	87	142
38	89	139
39	91	137
40	93	134
41	95	132
42	98	129
43	100	127
44	102	125
45	104	122
46	106	119
47	108	117
48	110	115
49	112	112
50	114	110
51	117	108
52	119	105
53	121	103
54	123	101
55	125	98
56	128	96
57	130	94
58	132	92
59	135	90
60	137	87
61	138	84
62	140	82
63	143	80
64	145	78
65	147	75
66	148	73
67	150	70
68	153	68
69	154	66
70	156	63
71	159	62
72	162	60
73	164	57
74	167	55
75	169	53
76	172	51
77	176	49
78	178	47
79	180	45
80	182	42
81	185	40
82	187	38
83	189	36
84	191	33
85	192	31
86	194	29
87	203	27
88	205	25
89	207	23
90	210	20
91	211	18
92	213	16
93	216	13
94	218	11
95	220	9
96	223	6
97	225	4
98	227	2
99	230	0
