"","X","street","n","x","y"
"1",1,1,2,16.7380009,18.6959991
"2",2,1,2,17.6599998,18.7119999
"3",3,2,2,14.4619999,18.6550007
"4",4,2,2,16.7380009,18.6959991
"5",5,3,2,12.7938805,18.6161308
"6",6,3,2,14.4619999,18.6550007
"7",7,4,2,11.5998764,18.5883083
"8",8,4,2,12.7938805,18.6161308
"9",9,5,2,10.971961,18.5736771
"10",10,5,2,11.5998764,18.5883083
"11",11,6,2,10.7959166,18.5695744
"12",12,6,2,10.971961,18.5736771
"13",13,7,2,8.533,18.5240002
"14",14,7,2,10.7959166,18.5695744
"15",15,8,2,7.3639998,18.4990005
"16",16,8,2,8.533,18.5240002
"17",17,9,2,6.7030001,18.4850006
"18",18,9,2,7.3639998,18.4990005
"19",19,10,2,6.4789462,18.4790497
"20",20,10,2,6.7030001,18.4850006
"21",21,11,2,4.9920001,18.441
"22",22,11,2,6.4789462,18.4790497
"23",23,12,2,3.3900001,18.3969994
"24",24,12,2,4.9920001,18.441
"25",25,13,2,9.6827154,18.2092381
"26",26,13,2,10.7959166,18.5695744
"27",27,14,3,17.6599998,18.7119999
"28",28,14,3,19.4839993,18.7250004
"29",29,14,3,19.5030003,18.1189995
"30",30,15,2,8.6569996,18.0890007
"31",31,15,2,8.533,18.5240002
"32",32,16,2,5.0978222,18.0533352
"33",33,16,2,6.4789462,18.4790497
"34",34,17,2,4.9920001,18.441
"35",35,17,2,5.0978222,18.0533352
"36",36,18,2,8.7724485,17.9145889
"37",37,18,2,9.6827154,18.2092381
"38",38,19,2,8.7724485,17.9145889
"39",39,19,2,8.6569996,18.0890007
"40",40,20,3,17.4473476,17.9006481
"41",41,20,3,18.7360001,18.0639992
"42",42,20,3,19.5030003,18.1189995
"43",43,21,3,17.4473476,17.9006481
"44",44,21,3,17.5179996,18.4389992
"45",45,21,3,17.6599998,18.7119999
"46",46,22,2,17.1739998,17.8659992
"47",47,22,2,17.4473476,17.9006481
"48",48,23,2,17.1739998,17.8659992
"49",49,23,2,16.7380009,18.6959991
"50",50,24,3,7.9260001,17.6700001
"51",51,24,3,7.882,17.8500004
"52",52,24,3,8.6569996,18.0890007
"53",53,25,2,16.1129227,17.645401
"54",54,25,2,17.1739998,17.8659992
"55",55,26,5,16.1129227,17.645401
"56",56,26,5,15.8950005,18.3330002
"57",57,26,5,15.507,18.2420006
"58",58,26,5,15.3870001,18.3390007
"59",59,26,5,15.3170004,18.5170002
"60",60,27,2,3.733,17.6210003
"61",61,27,2,5.0978222,18.0533352
"62",62,28,2,7.6246362,17.5824795
"63",63,28,2,7.9260001,17.6700001
"64",64,29,2,7.3639998,18.4990005
"65",65,29,2,7.6246362,17.5824795
"66",66,30,2,3.405966,17.5355129
"67",67,30,2,3.733,17.6210003
"68",68,31,2,3.405966,17.5355129
"69",69,31,2,3.3900001,18.3969994
"70",70,32,2,15.6000004,17.5249996
"71",71,32,2,16.1129227,17.645401
"72",72,33,2,14.9702625,17.4152355
"73",73,33,2,15.6000004,17.5249996
"74",74,34,2,14.9702625,17.4152355
"75",75,34,2,14.4619999,18.6550007
"76",76,35,2,6.99401,17.3993397
"77",77,35,2,7.6246362,17.5824795
"78",78,36,2,6.99401,17.3993397
"79",79,36,2,6.7030001,18.4850006
"80",80,37,2,19.5030003,18.1189995
"81",81,37,2,19.5272503,17.2641487
"82",82,38,3,14.1594124,17.2620544
"83",83,38,3,14.783,17.382
"84",84,38,3,14.9702625,17.4152355
"85",85,39,3,8.8240004,17.1959991
"86",86,39,3,8.8760004,17.3260002
"87",87,39,3,8.7724485,17.9145889
"88",88,40,2,19.3530006,17.184
"89",89,40,2,19.5272503,17.2641487
"90",90,41,3,18.5079994,17.3279991
"91",91,41,3,19.184,17.5620003
"92",92,41,3,19.3530006,17.184
"93",93,42,3,13.3946438,17.1198883
"94",94,42,3,13.816,17.1959991
"95",95,42,3,14.1594124,17.2620544
"96",96,43,2,13.3946438,17.1198883
"97",97,43,2,12.7938805,18.6161308
"98",98,44,2,11.5249996,17.0750008
"99",99,44,2,10.971961,18.5736771
"100",100,45,2,8.1929998,17.0149994
"101",101,45,2,8.8240004,17.1959991
"102",102,46,2,8.1459999,16.9909992
"103",103,46,2,8.1929998,17.0149994
"104",104,47,2,7.9260001,17.6700001
"105",105,47,2,8.1459999,16.9909992
"106",106,48,2,5.4027152,16.9372101
"107",107,48,2,6.99401,17.3993397
"108",108,49,2,5.0978222,18.0533352
"109",109,49,2,5.4027152,16.9372101
"110",110,50,3,12.3062029,16.9213066
"111",111,50,3,12.7419996,17.0020008
"112",112,50,3,13.3946438,17.1198883
"113",113,51,2,12.2447538,16.9099293
"114",114,51,2,12.3062029,16.9213066
"115",115,52,3,14.1594124,17.2620544
"116",116,52,3,14.3319998,16.4899998
"117",117,52,3,14.3889999,16.4990005
"118",118,53,2,15.3170004,16.4099998
"119",119,53,2,14.9702625,17.4152355
"120",120,54,2,15.3889999,16.1200008
"121",121,54,2,16.0689697,16.4080257
"122",122,55,2,15.3170004,16.4099998
"123",123,55,2,15.3889999,16.1200008
"124",124,56,3,14.0244579,15.827219
"125",125,56,3,15.1340361,16.3555603
"126",126,56,3,15.3170004,16.4099998
"127",127,57,2,14.0244579,15.827219
"128",128,57,2,13.3946438,17.1198883
"129",129,58,3,15.3889999,16.1200008
"130",130,58,3,15.5100002,15.7519999
"131",131,58,3,15.6070004,15.6219997
"132",132,59,2,13.5803728,15.6042328
"133",133,59,2,14.0244579,15.827219
"134",134,60,2,14.4429998,15.0100002
"135",135,60,2,14.0244579,15.827219
"136",136,61,2,12.2447538,16.9099293
"137",137,61,2,11.5998764,18.5883083
"138",138,62,2,19.5272503,17.2641487
"139",139,62,2,19.541317,16.7682648
"140",140,63,2,19.3530006,17.184
"141",141,63,2,19.541317,16.7682648
"142",142,64,2,11.165,16.7099991
"143",143,64,2,12.2447538,16.9099293
"144",144,65,2,3.733,17.6210003
"145",145,65,2,4.2443171,16.7018509
"146",146,66,2,8.1459999,16.9909992
"147",147,66,2,7.1856389,16.6844387
"148",148,67,2,7.1856389,16.6844387
"149",149,67,2,6.99401,17.3993397
"150",150,68,2,10.8289194,16.6464252
"151",151,68,2,11.165,16.7099991
"152",152,69,2,4.2927132,16.6148548
"153",153,69,2,5.4027152,16.9372101
"154",154,70,2,4.2443171,16.7018509
"155",155,70,2,4.2927132,16.6148548
"156",156,71,2,17.1739998,17.8659992
"157",157,71,2,17.743,16.5869999
"158",158,72,2,10.3191881,16.550005
"159",159,72,2,10.8289194,16.6464252
"160",160,73,2,9.6827154,18.2092381
"161",161,73,2,10.3191881,16.550005
"162",162,74,2,19.541317,16.7682648
"163",163,74,2,19.5478706,16.5372238
"164",164,75,2,15.6000004,17.5249996
"165",165,75,2,16.0689697,16.4080257
"166",166,76,2,9.4746075,16.3902454
"167",167,76,2,10.3191881,16.550005
"168",168,77,2,9.3370533,16.9699402
"169",169,77,2,9.4746075,16.3902454
"170",170,78,2,4.2443171,16.7018509
"171",171,78,2,3.4272959,16.3845978
"172",172,79,2,3.4272959,16.3845978
"173",173,79,2,3.405966,17.5355129
"174",174,80,2,9.0890484,16.3173122
"175",175,80,2,9.4746075,16.3902454
"176",176,81,2,9.0301085,16.3061638
"177",177,81,2,9.0890484,16.3173122
"178",178,82,2,8.8240004,17.1959991
"179",179,82,2,9.0301085,16.3061638
"180",180,83,2,8.3710003,16.1749992
"181",181,83,2,9.0301085,16.3061638
"182",182,84,2,8.1929998,17.0149994
"183",183,84,2,8.3710003,16.1749992
"184",184,85,2,18.7351665,16.1498737
"185",185,85,2,19.5478706,16.5372238
"186",186,86,3,18.7351665,16.1498737
"187",187,86,3,18.3939991,16.8759995
"188",188,86,3,17.743,16.5869999
"189",189,87,2,7.868,16.0779991
"190",190,87,2,8.3710003,16.1749992
