country_name,admin1_name,admin2_name,latitude,longitude,aggregation,indicator,event_date,value
#country,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,#indicator+name,#date,#indicator+num
Afghanistan,Kabul,,34.5527,69.3376,max,earthquake.date,1906-10-24T00:00:00,5.38
Afghanistan,Kapisa,,34.9568,69.6258,max,earthquake.date,1906-10-24T00:00:00,5.4
Afghanistan,Parwan,,34.9619,68.887,max,earthquake.date,1906-10-24T00:00:00,5.64
Afghanistan,Maidan Wardak,,34.3033,68.2174,max,earthquake.date,1906-10-24T00:00:00,5.53
Afghanistan,Logar,,34.0121,69.1631,max,earthquake.date,1906-10-24T00:00:00,5.14
Afghanistan,Nangarhar,,34.2743,70.4529,max,earthquake.date,1906-10-24T00:00:00,4.99
Afghanistan,Laghman,,34.7693,70.1638,max,earthquake.date,1906-10-24T00:00:00,5.23
Afghanistan,Panjsher,,35.4474,69.798,max,earthquake.date,1906-10-24T00:00:00,5.51
Afghanistan,Baghlan,,35.8025,68.9114,max,earthquake.date,1906-10-24T00:00:00,6.73
Afghanistan,Bamyan,,34.8046,67.2373,max,earthquake.date,1906-10-24T00:00:00,6.08
Afghanistan,Ghazni,,33.3211,67.812,max,earthquake.date,1906-10-24T00:00:00,5.26
Afghanistan,Paktya,,33.6295,69.3852,max,earthquake.date,1906-10-24T00:00:00,4.91
Afghanistan,Nuristan,,35.4148,70.7791,max,earthquake.date,1906-10-24T00:00:00,5.27
Afghanistan,Badakhshan,,37.0338,71.43,max,earthquake.date,1906-10-24T00:00:00,5.57
Afghanistan,Takhar,,36.7003,69.779,max,earthquake.date,1906-10-24T00:00:00,5.99
Afghanistan,Kunduz,,36.8401,68.7449,max,earthquake.date,1906-10-24T00:00:00,7.1
Afghanistan,Samangan,,35.9727,67.7027,max,earthquake.date,1906-10-24T00:00:00,7.57
Afghanistan,Balkh,,36.6645,67.0787,max,earthquake.date,1906-10-24T00:00:00,9.15
Afghanistan,Sar E Pul,,35.7161,66.1359,max,earthquake.date,1906-10-24T00:00:00,7.07
Afghanistan,Ghor,,34.1786,64.9307,max,earthquake.date,1906-10-24T00:00:00,5.69
Afghanistan,Daykundi,,33.7044,66.2189,max,earthquake.date,1906-10-24T00:00:00,5.3
Afghanistan,Jawzjan,,36.8271,65.8588,max,earthquake.date,1906-10-24T00:00:00,7.55
Afghanistan,Faryab,,36.0614,64.8706,max,earthquake.date,1906-10-24T00:00:00,6.32
Afghanistan,Badghis,,35.1353,63.7334,max,earthquake.date,1906-10-24T00:00:00,5.37
Afghanistan,Hirat,,34.1955,62.1344,max,earthquake.date,1906-10-24T00:00:00,5.07
Afghanistan,Badakhshan,,37.0338,71.43,max,earthquake.date,1907-09-15T00:00:00,5.49
Afghanistan,Takhar,,36.7003,69.779,max,earthquake.date,1907-09-15T00:00:00,4.42
Afghanistan,Kunduz,,36.8401,68.7449,max,earthquake.date,1907-09-15T00:00:00,4.0
Afghanistan,Baghlan,,35.8025,68.9114,max,earthquake.date,1907-10-21T00:00:00,5.86
Afghanistan,Badakhshan,,37.0338,71.43,max,earthquake.date,1907-10-21T00:00:00,6.17
Afghanistan,Takhar,,36.7003,69.779,max,earthquake.date,1907-10-21T00:00:00,6.26
Afghanistan,Kunduz,,36.8401,68.7449,max,earthquake.date,1907-10-21T00:00:00,6.26
Afghanistan,Samangan,,35.9727,67.7027,max,earthquake.date,1907-10-21T00:00:00,5.91
